City,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-01-01,212.57,358.76,72.71,103.88,68.9,5.24,42.24,31.43,1.0,15.8,7.63,500.0,Severe
Delhi,2015-01-02,138.32,207.71,60.31,86.15,54.14,3.99,33.94,18.63,8.33,7.4,6.75,500.0,Severe
Delhi,2015-01-03,117.96,182.01,41.32,59.03,54.43,3.49,24.52,32.0,7.31,13.56,3.47,492.0,Severe
Delhi,2015-01-04,167.36,363.87,61.32,87.59,52.06,4.5,41.48,35.48,5.84,10.16,8.11,500.0,Severe
Delhi,2015-01-05,187.57,325.93,66.6,95.15,65.66,5.25,50.29,36.89,3.48,,5.64,500.0,Severe
Delhi,2015-01-06,208.25,378.61,64.23,91.76,80.68,5.51,54.27,30.32,12.61,11.86,9.13,500.0,Severe
Delhi,2015-01-07,242.09,393.96,79.14,113.05,70.57,6.05,58.54,31.98,5.63,14.97,5.58,500.0,Severe
Delhi,2015-01-08,170.84,282.47,53.17,75.95,60.69,4.66,44.73,54.53,7.02,10.43,3.07,500.0,Severe
Delhi,2015-01-09,318.34,500.7,85.83,122.61,84.36,7.5,66.37,43.22,5.17,17.62,5.96,500.0,Severe
Delhi,2015-01-10,147.94,292.79,50.72,72.46,73.41,4.15,39.6,22.47,10.26,15.16,4.18,500.0,Severe
Delhi,2015-01-11,180.21,292.87,59.38,84.83,78.79,5.17,38.08,65.6,8.03,10.54,7.3,500.0,Severe
Delhi,2015-01-12,146.44,302.7,46.27,66.1,63.88,4.45,34.39,21.54,11.92,5.57,6.37,500.0,Severe
Delhi,2015-01-13,158.78,257.34,48.27,68.96,73.17,4.86,43.76,43.39,8.52,7.13,8.1,500.0,Severe
Delhi,2015-01-14,157.47,355.93,62.18,88.83,72.59,4.73,32.05,46.19,,11.02,4.49,500.0,Severe
Delhi,2015-01-15,178.22,375.07,62.19,88.85,69.21,4.8,63.61,18.9,5.11,15.91,6.08,500.0,Severe
Delhi,2015-01-16,157.53,304.69,57.39,81.99,59.92,4.01,38.05,17.28,10.57,12.86,3.51,500.0,Severe
Delhi,2015-01-17,290.12,493.0,76.26,108.95,108.19,7.02,66.98,53.09,5.12,17.53,7.81,500.0,Severe
Delhi,2015-01-18,248.26,517.21,77.13,110.19,83.91,6.55,61.32,49.77,10.28,8.91,5.53,500.0,Severe
Delhi,2015-01-19,248.18,415.65,75.62,108.03,83.7,6.2,48.91,26.6,12.68,12.51,7.1,500.0,Severe
Delhi,2015-01-20,139.76,208.63,65.36,93.37,53.32,3.19,41.04,42.8,10.56,8.83,5.77,500.0,Severe
Delhi,2015-01-21,149.74,200.89,50.22,71.74,75.1,3.55,40.0,54.18,9.13,18.61,3.35,500.0,Severe
Delhi,2015-01-22,196.66,338.97,65.41,93.44,41.75,4.76,50.7,39.11,4.93,10.99,3.5,500.0,Severe
Delhi,2015-01-23,233.33,411.92,66.74,95.34,92.43,6.81,50.47,46.07,7.39,12.24,7.29,500.0,Severe
Delhi,2015-01-24,221.25,327.0,82.39,117.7,83.12,5.56,32.57,48.82,6.13,11.17,5.01,500.0,Severe
Delhi,2015-01-25,241.59,455.81,81.9,117.0,94.16,6.26,54.13,30.55,9.66,9.16,2.42,500.0,Severe
Delhi,2015-01-26,311.48,516.43,84.89,121.27,115.93,7.76,70.51,52.2,8.06,14.73,5.38,500.0,Severe
Delhi,2015-01-27,202.08,422.68,70.89,101.28,63.55,5.06,30.98,58.07,10.31,14.67,4.6,500.0,Severe
Delhi,2015-01-28,263.99,445.01,70.66,100.94,82.78,6.65,52.03,31.54,8.73,12.98,4.99,500.0,Severe
Delhi,2015-01-29,149.18,285.0,48.99,69.98,77.99,4.73,32.06,10.0,7.09,11.98,4.64,500.0,Severe
Delhi,2015-01-30,151.87,243.01,56.53,80.76,69.87,4.19,50.04,46.03,6.8,12.9,6.03,500.0,Severe
Delhi,2015-01-31,106.16,255.99,46.14,65.91,69.7,4.07,27.47,58.01,7.67,15.91,3.09,443.0,Severe
Delhi,2015-02-01,94.48,229.95,35.53,50.75,58.12,3.23,30.38,68.14,6.27,8.41,6.98,394.0,Very Poor
Delhi,2015-02-02,357.39,635.77,95.13,135.89,103.37,8.23,68.02,44.43,9.02,11.65,6.55,500.0,Severe
Delhi,2015-02-03,206.25,404.88,64.35,91.93,65.89,5.14,46.31,49.34,7.57,12.48,7.03,500.0,Severe
Delhi,2015-02-04,196.25,312.14,60.08,85.84,89.57,5.94,46.38,41.72,8.51,16.61,8.05,500.0,Severe
